instruction,output,input
Substitute the medical jargon with layman terms,formation of new combinations of genetic material,RECOMBINANT
Substitute the medical jargon with layman terms,by way of the rectum,RECTAL
Substitute the medical jargon with layman terms,"come back, return",RECUR
Substitute the medical jargon with layman terms,resistant to therapy or treatment,REFRACTORY
Substitute the medical jargon with layman terms,lessening of the symptoms or signs of disease,REMISSION
Substitute the medical jargon with layman terms,increase in young red blood cells,RETICULOCYTOSIS
Substitute the medical jargon with layman terms,"going backward, to move in the opposite direction",RETROGRADE
Substitute the medical jargon with layman terms,behind the peritoneum,RETROPERITONEAL
Substitute the medical jargon with layman terms,study examining data from the past,RETROSPECTIVE STUDY
Substitute the medical jargon with layman terms,inflammation of the nose,RHINITIS
Substitute the medical jargon with layman terms,a characteristic or exposure that makes a person more likely to develop a particular condition,RISK FACTOR
Substitute the medical jargon with layman terms,the way a drug enters the body,ROUTE OF ADMINISTRATION
Substitute the medical jargon with layman terms,a type of cancer,SARCOMA
Substitute the medical jargon with layman terms,time plan,SCHEDULE
Substitute the medical jargon with layman terms,testing for disease or illness,SCREENING
Substitute the medical jargon with layman terms,"infection that follows another, related infection",SECONDARY INFECTION
Substitute the medical jargon with layman terms,"convulsion, involuntary muscle contraction",SEIZURE
Substitute the medical jargon with layman terms,widespread infection,SEPSIS
Substitute the medical jargon with layman terms,in a sequence,SEQUENTIAL
Substitute the medical jargon with layman terms,liquid part of blood,SERUM
Substitute the medical jargon with layman terms,a sudden drop in blood pressure,SHOCK
Substitute the medical jargon with layman terms,unwanted effect,SIDE EFFECT
Substitute the medical jargon with layman terms,study in which the subjects do not know what treatment they are receiving,SINGLE BLIND
Substitute the medical jargon with layman terms,slow,SLUGGISH
Substitute the medical jargon with layman terms,able to be dissolved,SOLUBLE
Substitute the medical jargon with layman terms,relating to the body,SOMATIC
Substitute the medical jargon with layman terms,"constant, not changing",STABLE
Substitute the medical jargon with layman terms,immature cells,STEM CELLS
Substitute the medical jargon with layman terms,tube inserted into a blood vessel to hold it open,STENT
Substitute the medical jargon with layman terms,free of germs,STERILE
Substitute the medical jargon with layman terms,a drug that can lower swelling and reduce immune response,STEROID
Substitute the medical jargon with layman terms,beneath the skin,SUBCUTANEOUS
Substitute the medical jargon with layman terms,person who is part of a research study,SUBJECT
Substitute the medical jargon with layman terms,lying on the back,SUPINE
Substitute the medical jargon with layman terms,tendency,SUSCEPTIBILITY
Substitute the medical jargon with layman terms,liquid medicine with solid particles in it,SUSPENSION
Substitute the medical jargon with layman terms,showing signs of disease,SYMPTOMATIC
Substitute the medical jargon with layman terms,fainting,SYNCOPE
Substitute the medical jargon with layman terms,group of symptoms or signs that occur together,SYNDROME
Substitute the medical jargon with layman terms,affecting the body as a whole,SYSTEMIC
Substitute the medical jargon with layman terms,infection affecting the body as a whole,SYSTEMIC INFECTION
Substitute the medical jargon with layman terms,upper number in a blood pressure reading,Systolic
Substitute the medical jargon with layman terms,"fast, irregular heartbeats",TACHYARRHYTHMIA
Substitute the medical jargon with layman terms,fast heartbeat,TACHYCARDIA
Substitute the medical jargon with layman terms,"treatment, remedy, curative",THERAPEUTIC
Substitute the medical jargon with layman terms,"treatment, remedy, curative",THERAPY
Substitute the medical jargon with layman terms,low platelet count,THROMBOCYTOPENIA
Substitute the medical jargon with layman terms,clot in the vein with irritation or inflammation,THROMBOPHLEBITIS
Substitute the medical jargon with layman terms,clot in a vessel,THROMBOSIS
Substitute the medical jargon with layman terms,clot in a vessel,THROMBUS
Substitute the medical jargon with layman terms,surface,TOPICAL
Substitute the medical jargon with layman terms,harmful effects,TOXICITY
Substitute the medical jargon with layman terms,creation of a surgical opening in the trachea,TRACHEOSTOMY
Substitute the medical jargon with layman terms,due to injury,TRAUMATIC
Substitute the medical jargon with layman terms,therapeutic,TREATMENT
Substitute the medical jargon with layman terms,"mass, growth",TUMOR
Substitute the medical jargon with layman terms,sores on the skin or lining of internal organs,ULCERATION
Substitute the medical jargon with layman terms,beyond the range of human hearing,ULTRASONIC
Substitute the medical jargon with layman terms,organs through which urine passes,URINARY TRACT
Substitute the medical jargon with layman terms,irritation or inflammation of the vagina,VAGINITIS
Substitute the medical jargon with layman terms,related to blood vessels,VASCULAR
Substitute the medical jargon with layman terms,a blood vessel,VEIN
Substitute the medical jargon with layman terms,breathing,VENTILATION
Substitute the medical jargon with layman terms,"pertaining to the ventricles, the lower chambers of the heart",VENTRICULAR
Substitute the medical jargon with layman terms,bones of the spinal column,VERTEBRAE
Substitute the medical jargon with layman terms,sticky,VISCOUS
Substitute the medical jargon with layman terms,"willing, by choice",VOLUNTARY
Substitute the medical jargon with layman terms,vital signs,VS
Substitute the medical jargon with layman terms,"ventricular septal defect, a hole in the wall between the heart's two lower chambers",VSD
Substitute the medical jargon with layman terms,at risk,VULNERABLE
Substitute the medical jargon with layman terms,white blood cell,WBC
